Card   1: 91 58 89  8 19 64 92 28 22  1 |  6 94 21 70 81 59  5 35 24 31 43 69 91 12 51 53 98 50 70 98 47  6  9 49 50
Card   2: 49 56 57 80 28  9  3 19 55  6 | 35 25 76 45 35 73 12 93 29 23 50 33 75 36  4 33 90 84  1  9 44 62 99 80 85
Card   3: 97 29 93 95 66 40 97  9 58 11 | 22 56 90 13 40 84 83 70 65 80 73 84 58 93 98 79 46 51 47 70  8 50 43    70
Card   4: 62 79 90 45 63 70 75 26 14 92 | 70  5 69 58 80 64 72  4 36 24 40 76 79 16 79 11 80 88 49 92 15 24  5 49 22
Card   5: 54 26 80 65 14 46 77 59 12 20 | 96 89 95 25 19 22 34  9 24 86 87 63 16 31  5 22 91 71  8 80 33  2 65 67 78
Card   6: 22 10 58 44  5 97 97 57 88  8 | 54 50 79 45  2 40 90 30 82 37 29 99 50 90 51 84 97 62  8  4 89 82 86 59 65
Card   7: 65 94 76  4 41 40  1  6 50 96 | 82 90 42 92 22 18 29 96 47 91 71  2  5  3 42 73 45 26 15 13 29 37  7 63 81
Card   8: 73 19 52 43 47 54  6 86 12 34 | 25 70 26 15 35 10 65 81 48 72 98 48 18 94  8 34  6 44 79 25 77 27 78 61 28
Card   9: 32 51 38 86 17 56 42  4 67 38 | 55  5 26 91 98 11 52  1 48 13 55 95 60 15 16 51 54 22 91  8 26 70 26 35 92
Card  10:  6 40 74  5 31 63  1  5 12 64 | 88  7 91 54  4 62 37 66  5 69 59 78 17 47 61  2  6 56 36 59  2 71 63 87 72
